hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
Moldova                               77726331             1.00346  0.60526  .60317427894435819919  23    38     29529  48956
MaskUp                                302984766            0.27433  0.16547  .60317427894435819919  23    139    29529  48956
Finland                               870244616003403781   0.79441  0.47917  .60317427894435819919  23    48     29529  48956
Donbas                                4842395709           0.63552  0.38333  .60317427894435819919  23    60     29529  48956
BuchaMRRRRRRacre                      578601744            1.23006  0.74194  .60317427894435819919  23    31     29529  48956
อีกนานมั้ยCloseFriend2                   177400353            1.65790  1.00000  .60317427894435819919  22    22     29529  48956
Sweden                                3040987923           0.56990  0.34375  .60317427894435819919  22    64     29529  48956
RussiaUkraineConflict                 870244616003403781   1.25771  0.75862  .60317427894435819919  22    29     29529  48956
r4today                               631283641            1.01316  0.61111  .60317427894435819919  22    36     29529  48956
onted                                 302984766            0.88961  0.53659  .60317427894435819919  22    41     29529  48956
MLKDay                                41186732             0.68818  0.41509  .60317427894435819919  22    53     29529  48956
LNPCorruptionParty                    2574271742           1.07276  0.64706  .60317427894435819919  22    34     29529  48956
DoWeHaveAProblem                      1471037967926018051  1.58581  0.95652  .60317427894435819919  22    23     29529  48956
Chernobyl                             1263391922657337345  0.77604  0.46809  .60317427894435819919  22    47     29529  48956
BreakingNews                          29447428             1.10527  0.66667  .60317427894435819919  22    33     29529  48956
BBC                                   29447428             0.08160  0.04922  .60317427894435819919  22    447    29529  48956
Australia                             2574271742           0.06224  0.03754  .60317427894435819919  22    586    29529  48956
TENLEE                                1261203450022359043  0.66954  0.40385  .60317427894435819919  21    52     29529  48956
LGBTQ                                 1353306974939738113  0.49737  0.30000  .60317427894435819919  21    70     29529  48956
Kiev                                  1229752606714728454  0.50458  0.30435  .60317427894435819919  21    69     29529  48956
IWD2022                               29188599             1.12309  0.67742  .60317427894435819919  21    31     29529  48956
FBI                                   59028892             0.39120  0.23596  .60317427894435819919  21    89     29529  48956
CorsiRosenthalBox                     1475643712596168706  1.45066  0.87500  .60317427894435819919  21    24     29529  48956
Ba2                                   1028022611324747776  1.58254  0.95455  .60317427894435819919  21    22     29529  48956
ทําบุญขึ้นห้อง609                          177400353            4.73684  2.85714  .60317427894435819919  20    7      29529  48956
URGENT                                1060440219097423872  0.31281  0.18868  .60317427894435819919  20    106    29529  48956
UkraineUnderAttaсk                    302984766            0.92106  0.55556  .60317427894435819919  20    36     29529  48956
UkraineCrisis                         1263391922657337345  0.89616  0.54054  .60317427894435819919  20    37     29529  48956
OhmFluke3rdFallingForYou              177400353            1.65790  1.00000  .60317427894435819919  20    20     29529  48956
NFLDraft                              614600545            0.60288  0.36364  .60317427894435819919  20    55     29529  48956
India                                 832019161454817280   0.25704  0.15504  .60317427894435819919  20    129    29529  48956
DowningStreetParties                  199452338            0.41447  0.25000  .60317427894435819919  20    80     29529  48956
DontSayGay                            838381908656603144   1.22807  0.74074  .60317427894435819919  20    27     29529  48956
Beijing2022                           302984766            0.94737  0.57143  .60317427894435819919  20    35     29529  48956
bced                                  804582780298412032   0.15568  0.09390  .60317427894435819919  20    213    29529  48956
antisemitism                          1308267623327518725  0.75360  0.45455  .60317427894435819919  20    44     29529  48956
нетвойне                              45379403             0.87500  0.52778  .60317427894435819919  19    36     29529  48956
yyccc                                 118166719            0.71591  0.43182  .60317427894435819919  19    44     29529  48956
VotingRightsAct                       1060440219097423872  0.95455  0.57576  .60317427894435819919  19    33     29529  48956
TruthBillboards                       1387010761994682371  1.65790  1.00000  .60317427894435819919  19    19     29529  48956
TheView                               614600545            0.32475  0.19588  .60317427894435819919  19    97     29529  48956
SundayMorning                         631283641            1.57500  0.95000  .60317427894435819919  19    20     29529  48956
SueGrayReport                         1229752606714728454  1.12500  0.67857  .60317427894435819919  19    28     29529  48956
StopPutin                             578601744            0.08750  0.05278  .60317427894435819919  19    360    29529  48956
RRRRRRange                            45379403             0.58333  0.35185  .60317427894435819919  19    54     29529  48956
pmqs                                  631283641            1.57500  0.95000  .60317427894435819919  19    20     29529  48956
OnThisDay                             77726331             1.43182  0.86364  .60317427894435819919  19    22     29529  48956
nuclear                               45379403             0.16493  0.09948  .60317427894435819919  19    191    29529  48956
Newsnight                             631283641            0.75000  0.45238  .60317427894435819919  19    42     29529  48956
LoveAt9                               177400353            0.34239  0.20652  .60317427894435819919  19    92     29529  48956
LegalNameFraud                        1387010761994682371  1.65790  1.00000  .60317427894435819919  19    19     29529  48956
DontLookUp                            45379403             1.31251  0.79167  .60317427894435819919  19    24     29529  48956
CDNpoli                               302984766            1.65790  1.00000  .60317427894435819919  19    19     29529  48956
Auspol                                3453306553           1.50000  0.90476  .60317427894435819919  19    21     29529  48956
