hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
ZeroCovid                             45379403             0.31478  0.18987  .60317427894435819919  15    79     29529  48956
VoteFordOut2022                       302984766            0.25905  0.15625  .60317427894435819919  15    96     29529  48956
StupidTrump                           981436419087523840   1.91296  1.15385  .60317427894435819919  15    13     29529  48956
SeeYouCloseFriend2                    177400353            1.65790  1.00000  .60317427894435819919  15    15     29529  48956
RussianUkrainianWar                   870244616003403781   1.30886  0.78947  .60317427894435819919  15    19     29529  48956
OttawaOccupation                      832019161454817280   0.65444  0.39474  .60317427894435819919  15    38     29529  48956
Odesa                                 578601744            0.77714  0.46875  .60317427894435819919  15    32     29529  48956
Maddow                                940778288871542786   0.56519  0.34091  .60317427894435819919  15    44     29529  48956
LTC                                   302984766            0.27632  0.16667  .60317427894435819919  15    90     29529  48956
LNP                                   2574271742           0.11101  0.06696  .60317427894435819919  15    224    29529  48956
Jewish                                1308267623327518725  0.09075  0.05474  .60317427894435819919  15    274    29529  48956
IStandWithUkriane                     199452338            0.33606  0.20270  .60317427894435819919  15    74     29529  48956
ImStillWithHer                        192374137            1.65790  1.00000  .60317427894435819919  15    15     29529  48956
GreatDanceCrew                        1261203450022359043  1.55428  0.93750  .60317427894435819919  15    16     29529  48956
FollowBackFriday                      199452338            0.02782  0.01678  .60317427894435819919  15    894    29529  48956
ClimateActionNow                      832019161454817280   1.03618  0.62500  .60317427894435819919  15    24     29529  48956
ClimateAction                         832019161454817280   0.46922  0.28302  .60317427894435819919  15    53     29529  48956
Cancer                                302984766            0.47824  0.28846  .60317427894435819919  15    52     29529  48956
buyastrangerabook                     2332033299           1.65790  1.00000  .60317427894435819919  15    15     29529  48956
BrexitReality                         2800413166           1.38157  0.83333  .60317427894435819919  15    18     29529  48956
BrettHankison                         614600545            1.08123  0.65217  .60317427894435819919  15    23     29529  48956
Bitcoin                               870244616003403781   0.95647  0.57692  .60317427894435819919  15    26     29529  48956
BBCBreakfast                          29447428             0.80221  0.48387  .60317427894435819919  15    31     29529  48956
BackBoris                             828578052942741505   1.38157  0.83333  .60317427894435819919  15    18     29529  48956
antivaxxers                           302984766            0.55263  0.33333  .60317427894435819919  15    45     29529  48956
WomensArt                             2332033299           1.65790  1.00000  .60317427894435819919  14    14     29529  48956
WindofChange                          578601744            1.65790  1.00000  .60317427894435819919  14    14     29529  48956
WarCrimes                             578601744            0.20911  0.12613  .60317427894435819919  14    111    29529  48956
VotingRights                          1155192156           0.25228  0.15217  .60317427894435819919  14    92     29529  48956
